CRISPRa-,,,CRISPRa+,,,CRISPRi-,,,CRISPRi+,
,,,,,,,,,OR52M1,2H10
,,,,,,,,,OR52M1,3A4
,,,,,,,,,OR52M1,3A5
,,,,,,,,,OR52M1,3A6
,,,,,,,,,OR52M1,2H2
,,,,,,,,,OR52M1,3A2
,,,,,,,,,OR52M1,2E10
,,,,,,,,,OR52M1,2C5
,,,,,,,,,OR52M1,2C2
,,,,,,,,,OR52M1,2B2
,,,,,,,,,OR52W1,4D1
,,,,,,,,,OR52W1,4D7
,,,,,,,,,OR52W1,4E1
,,,,,,,,,OR52W1,5B1
,,,,,,,,,OR52W1,5B7
,,,,,,,,,OR52W1,5C1
,,,,,,,,,OR52W1,4D6
,,,,,,,,,OR52W1,4D12
,,,,,,,,,OR52W1,4E6
,,,,,,,,,OR52W1,5B6
,,,,,,,,,OR52W1,5B12
,,,,,,,,,OR52W1,5C6
,,,,,,,,,OR5B3,1G3
,,,,,,,,,OR5B3,2E3
,,,,,,,,,OR5B3,2E5
,,,,,,,,,OR5B3,2E2
,,,,,,,,,OR5B3,1A3
,,,,,,,,,OR5B3,1A9
,,,,,,,,,OR5B3,1B3
,,,,,,,,,OR5B3,1B9
,,,,,,,,,OR5B3,1D3
,,,,,,,,,OR5B3,2B3
,,,,,,,,,OR5B3,2E9
,,,,,,,,,OR5B3,2F3
,,,,,,,,,OR5B3,2G3
,,,,,,,,,OR5B3,2B4
,,,,,,,,,OR5B3,2E4
,,,,,,,,,OR5B3,2H4
,,,,,,,,,OR5B3,1G6
,,,,,,,,,OR5B3,1D2
,,,,,,,,,OR5B3,1G8
,,,,,,,,,OR5B3,1H2
,,,,,,,,,OR5B3,1C9
,,,,,,,,,OR5B3,1D9
,,,,,,,,,OR5B3,1G9
,,,,,,,,,OR5B3,1H3
,,,,,,,,,OR5B3,1H9
,,,,,,,,,OR5B3,2A9
,,,,,,,,,OR5B3,2B9
,,,,,,,,,OR5B3,2C3
,,,,,,,,,OR5B3,2C9
,,,,,,,,,OR5B3,2D3
,,,,,,,,,OR5B3,2F9
,,,,,,,,,OR5B3,2G9
,,,,,,,,,OR5B3,2H3
,,,,,,,,,OR5B3,2H9
,,,,,,,,,OR5B3,3A3
,,,,,,,,,OR5B3,3B3
,,,,,,,,,OR5B3,1B4
,,,,,,,,,OR5B3,2C4
,,,,,,,,,OR5B3,3A4
,,,,,,,,,OR5B3,1A5
,,,,,,,,,OR5B3,1G5
,,,,,,,,,OR5B3,1G11
,,,,,,,,,OR5B3,1H5
,,,,,,,,,OR5B3,1H11
,,,,,,,,,OR5B3,2A11
,,,,,,,,,OR5B3,2B5
,,,,,,,,,OR5B3,2B11
,,,,,,,,,OR5B3,2E11
,,,,,,,,,OR5B3,2F5
,,,,,,,,,OR5B3,2F11
,,,,,,,,,OR5B3,2G5
,,,,,,,,,OR5B3,2G11
,,,,,,,,,OR5B3,2H5
,,,,,,,,,OR5B3,2H11
,,,,,,,,,OR5B3,1A6
,,,,,,,,,OR5B3,1D6
,,,,,,,,,OR5B3,2B12
,,,,,,,,,OR5B3,2E6
,,,,,,,,,OR5B3,1A2
,,,,,,,,,OR5B3,1B2
,,,,,,,,,OR5B3,1D8
,,,,,,,,,OR5B3,1G2
,,,,,,,,,OR5B3,2A8
,,,,,,,,,OR5B3,2B8
,,,,,,,,,OR5B3,2F2
,,,,,,,,,OR5B3,2G8
,,,,,,,,,OR5B3,2H2
,,,,,,,,,OR5B3,2H8
,,,,,,,,,OR5B3,3A2
,,,,,,,,,OR5B3,1C3
,,,,,,,,,OR5B3,1E3
,,,,,,,,,OR5B3,1F9
,,,,,,,,,OR5B3,2A3
,,,,,,,,,OR5B3,2D9
,,,,,,,,,OR5B3,1A4
,,,,,,,,,OR5B3,1A10
,,,,,,,,,OR5B3,1D4
,,,,,,,,,OR5B3,1E4
,,,,,,,,,OR5B3,1E10
,,,,,,,,,OR5B3,1F10
,,,,,,,,,OR5B3,1G4
,,,,,,,,,OR5B3,1H4
,,,,,,,,,OR5B3,2B10
,,,,,,,,,OR5B3,2C10
,,,,,,,,,OR5B3,2D10
,,,,,,,,,OR5B3,2F4
,,,,,,,,,OR5B3,2F10
,,,,,,,,,OR5B3,2G4
,,,,,,,,,OR5B3,2G10
,,,,,,,,,OR5B3,2H10
,,,,,,,,,OR5B3,3B10
,,,,,,,,,OR5B3,1A11
,,,,,,,,,OR5B3,1B5
,,,,,,,,,OR5B3,1B11
,,,,,,,,,OR5B3,1C11
,,,,,,,,,OR5B3,1D5
,,,,,,,,,OR5B3,1D11
,,,,,,,,,OR5B3,2C11
,,,,,,,,,OR5B3,2D11
,,,,,,,,,OR5B3,3A5
,,,,,,,,,OR5B3,3B5
,,,,,,,,,OR5B3,3B11
,,,,,,,,,OR5B3,1A12
,,,,,,,,,OR5B3,1B6
,,,,,,,,,OR5B3,1G12
,,,,,,,,,OR5B3,1H6
,,,,,,,,,OR5B3,1H12
,,,,,,,,,OR5B3,2A12
,,,,,,,,,OR5B3,2B6
,,,,,,,,,OR5B3,2C6
,,,,,,,,,OR5B3,2D12
,,,,,,,,,OR5B3,2E12
,,,,,,,,,OR5B3,2F6
,,,,,,,,,OR5B3,2H6
,,,,,,,,,OR5B3,2H12
,,,,,,,,,OR5B3,1A8
,,,,,,,,,OR5B3,1E2
,,,,,,,,,OR5B3,1F8
,,,,,,,,,OR5B3,1H8
,,,,,,,,,OR5B3,2C2
,,,,,,,,,OR5B3,2E8
,,,,,,,,,OR5B3,2G2
,,,,,,,,,OR5B3,3B8
,,,,,,,,,OR5B3,1E9
,,,,,,,,,OR5B3,1F3
,,,,,,,,,OR5B3,3A9
,,,,,,,,,OR5B3,3B9
,,,,,,,,,OR5B3,1B10
,,,,,,,,,OR5B3,1D10
,,,,,,,,,OR5B3,1F4
,,,,,,,,,OR5B3,1G10
,,,,,,,,,OR5B3,1H10
,,,,,,,,,OR5B3,2A4
,,,,,,,,,OR5B3,2A10
,,,,,,,,,OR5B3,2D4
,,,,,,,,,OR5B3,3A10
,,,,,,,,,OR5B3,3B4
,,,,,,,,,OR5B3,1E5
,,,,,,,,,OR5B3,1E11
,,,,,,,,,OR5B3,1F5
,,,,,,,,,OR5B3,1F11
,,,,,,,,,OR5B3,2A5
,,,,,,,,,OR5B3,2C5
,,,,,,,,,OR5B3,2D5
,,,,,,,,,OR5B3,3A11
,,,,,,,,,OR5B3,1B12
,,,,,,,,,OR5B3,1C12
,,,,,,,,,OR5B3,1D12
,,,,,,,,,OR5B3,1F6
,,,,,,,,,OR5B3,2A6
,,,,,,,,,OR5B3,2D6
,,,,,,,,,OR5B3,2G6
,,,,,,,,,OR5B3,3A6
,,,,,,,,,OR5B3,3B6
,,,,,,,,,OR5B3,1C8
,,,,,,,,,OR5B3,1F2
,,,,,,,,,OR5B3,2A2
,,,,,,,,,OR5B3,2B2
,,,,,,,,,OR5B3,2D8
,,,,,,,,,OR5B3,2F8
,,,,,,,,,OR5B3,3B2
,,,,,,,,,OR5B3,1C4
,,,,,,,,,OR5B3,1C10
,,,,,,,,,OR5B3,2E10
,,,,,,,,,OR5B3,1C5
,,,,,,,,,OR5B3,1C6
,,,,,,,,,OR5B3,1E6
,,,,,,,,,OR5B3,1E12
,,,,,,,,,OR5B3,1F12
,,,,,,,,,OR5B3,2C12
,,,,,,,,,OR5B3,2F12
,,,,,,,,,OR5B3,2G12
,,,,,,,,,OR5B3,1E8
,,,,,,,,,OR5B3,3A8
,,,,,,,,,OR5B3,3A12
,,,,,,,,,OR5B3,3B12
,,,,,,,,,OR5B3,1B8
,,,,,,,,,OR5B3,1C2
,,,,,,,,,OR5B3,2C8
,,,,,,,,,OR5B3,2D2
,,,,,,,,,OR5L2,6H10
,,,,,,,,,OR5L2,6H11
,,,,,,,,,OR5L2,6A11
,,,,,,,,,OR5L2,6B11
,,,,,,,,,OR5L2,6G5
,,,,,,,,,OR5L2,6A5
,,,,,,,,,OR5L2,6G11
,,,,,,,,,OR5L2,6A4
,,,,,,,,,OR5L2,6A10
,,,,,,,,,OR5L2,6B10
,,,,,,,,,OR5L2,6G4
,,,,,,,,,OR5L2,6G10
,,,,,,,,,OR5P3,1D9
,,,,,,,,,OR5P3,1H9
,,,,,,,,,OR5P3,1G9
,,,,,,,,,OR5P3,1E9
,,,,,,,,,OR5W2,2A10
,,,,,,,,,OR5W2,2D10
,,,,,,,,,OR5W2,1G4
,,,,,,,,,OR5W2,2A4
,,,,,,,,,OR5W2,2B4
,,,,,,,,,OR5W2,2D4
,,,,,,,,,OR6C6,1B3
,,,,,,,,,OR6C6,1H2
,,,,,,,,,OR6C6,1A9
,,,,,,,,,OR6C6,1H3
,,,,,,,,,OR6C6,1B6
,,,,,,,,,OR6C6,1H6
,,,,,,,,,OR6C6,1B2
,,,,,,,,,OR6C6,1G8
,,,,,,,,,OR6C6,1G9
,,,,,,,,,OR6C6,2H9
,,,,,,,,,OR6C6,3A3
,,,,,,,,,OR6C6,1A12
,,,,,,,,,OR6C6,1G12
,,,,,,,,,OR6C6,2H12
,,,,,,,,,OR6C6,2H8
,,,,,,,,,OR6C6,3A6
,,,,,,,,,OR6C6,3A2
,,,,,,,,,OR6C6,1A8
,,,,,,,,,OR6C68,9G7
,,,,,,,,,OR6C68 ,10A6
,,,,,,,,,OR6K3,1G7
,,,,,,,,,OR6K3,1H7
,,,,,,,,,OR6N1,2G3
,,,,,,,,,OR6N1,2G5
,,,,,,,,,OR6N1,1B9
,,,,,,,,,OR6N1,1D9
,,,,,,,,,OR6N1,2E9
,,,,,,,,,OR6N1,2F9
,,,,,,,,,OR6N1,2G4
,,,,,,,,,OR6N1,1B11
,,,,,,,,,OR6N1,1D11
,,,,,,,,,OR6N1,2E11
,,,,,,,,,OR6N1,2F11
,,,,,,,,,OR6N1,1A9
,,,,,,,,,OR6N1,1A10
,,,,,,,,,OR6N1,2F10
,,,,,,,,,OR6N1,1A11
,,,,,,,,,OR6N1,1F5
,,,,,,,,,OR6N1,1C3
,,,,,,,,,OR6N1,1E9
,,,,,,,,,OR6N1,1F3
,,,,,,,,,OR6N1,1B10
,,,,,,,,,OR6N1,1D10
,,,,,,,,,OR6N1,1E10
,,,,,,,,,OR6N1,1F4
,,,,,,,,,OR6N1,1C5
,,,,,,,,,OR6N1,1E11
,,,,,,,,,OR6N1,1C4
,,,,,,,,,OR6N1,2E10
,,,,,,,,,OR7E24,1A11
,,,,,,,,,OR7E24,1A8
,,,,,,,,,OR7G2,1A7
,,,,,,,,,OR7G2,1B1
,,,,,,,,,OR7G2,1B7
,,,,,,,,,OR7G2,1D1
,,,,,,,,,OR7G2,1D7
,,,,,,,,,OR7G2,1E1
,,,,,,,,,OR7G2,1F1
,,,,,,,,,OR7G2,1G1
,,,,,,,,,OR7G2,1H1
,,,,,,,,,OR7G2,2B1
,,,,,,,,,OR7G2,2B7
,,,,,,,,,OR7G2,2C1
,,,,,,,,,OR7G2,2C7
,,,,,,,,,OR7G2,2D1
,,,,,,,,,OR7G2,2D7
,,,,,,,,,OR7G2,2E1
,,,,,,,,,OR7G2,2E7
,,,,,,,,,OR7G2,2F1
,,,,,,,,,OR7G2,2F7
,,,,,,,,,OR7G2,2G1
,,,,,,,,,OR7G2,2G7
,,,,,,,,,OR7G2,2H1
,,,,,,,,,OR7G2,2H7
,,,,,,,,,OR7G2,3A1
,,,,,,,,,OR7G2,3A7
,,,,,,,,,OR7G2,3B1
,,,,,,,,,OR7G2,3B7
,,,,,,,,,OR7G2,1A2
,,,,,,,,,OR7G2,1A8
,,,,,,,,,OR7G2,1B2
,,,,,,,,,OR7G2,1B8
,,,,,,,,,OR7G2,1C2
,,,,,,,,,OR7G2,1C8
,,,,,,,,,OR7G2,1D2
,,,,,,,,,OR7G2,1D8
,,,,,,,,,OR7G2,1E2
,,,,,,,,,OR7G2,1E8
,,,,,,,,,OR7G2,1F2
,,,,,,,,,OR7G2,1F8
,,,,,,,,,OR7G2,1G2
,,,,,,,,,OR7G2,1G8
,,,,,,,,,OR7G2,1H2
,,,,,,,,,OR7G2,1H8
,,,,,,,,,OR7G2,2A2
,,,,,,,,,OR7G2,2A8
,,,,,,,,,OR7G2,2B2
,,,,,,,,,OR7G2,2B8
,,,,,,,,,OR7G2,2C2
,,,,,,,,,OR7G2,2C8
,,,,,,,,,OR7G2,2D2
,,,,,,,,,OR7G2,2D8
,,,,,,,,,OR7G2,2E2
,,,,,,,,,OR7G2,2E8
,,,,,,,,,OR7G2,2F2
,,,,,,,,,OR7G2,2F8
,,,,,,,,,OR7G2,2G2
,,,,,,,,,OR7G2,2G8
,,,,,,,,,OR7G2,2H2
,,,,,,,,,OR7G2,2H8
,,,,,,,,,OR7G2,3A2
,,,,,,,,,OR7G2,3A8
,,,,,,,,,OR7G2,3B2
,,,,,,,,,OR7G2,3B8
,,,,,,,,,OR7G2,1A10
,,,,,,,,,OR7G2,1B4
,,,,,,,,,OR7G2,1B10
,,,,,,,,,OR7G2,1D4
,,,,,,,,,OR7G2,1D10
,,,,,,,,,OR7G2,1E4
,,,,,,,,,OR7G2,1E10
,,,,,,,,,OR7G2,1F4
,,,,,,,,,OR7G2,1F10
,,,,,,,,,OR7G2,1G4
,,,,,,,,,OR7G2,1G10
,,,,,,,,,OR7G2,1H4
,,,,,,,,,OR7G2,1H10
,,,,,,,,,OR7G2,2A4
,,,,,,,,,OR7G2,2A10
,,,,,,,,,OR7G2,2B4
,,,,,,,,,OR7G2,2B10
,,,,,,,,,OR7G2,2C4
,,,,,,,,,OR7G2,2C10
,,,,,,,,,OR7G2,2D4
,,,,,,,,,OR7G2,2D10
,,,,,,,,,OR7G2,2E4
,,,,,,,,,OR7G2,2E10
,,,,,,,,,OR7G2,2F4
,,,,,,,,,OR7G2,2F10
,,,,,,,,,OR7G2,2G4
,,,,,,,,,OR7G2,2G10
,,,,,,,,,OR7G2,2H4
,,,,,,,,,OR7G2,2H10
,,,,,,,,,OR7G2,3A4
,,,,,,,,,OR7G2,3A10
,,,,,,,,,OR7G2,3B4
,,,,,,,,,OR7G2,3B10
,,,,,,,,,OR7G2,1A5
,,,,,,,,,OR7G2,1A11
,,,,,,,,,OR7G2,1B5
,,,,,,,,,OR7G2,1B11
,,,,,,,,,OR7G2,1C5
,,,,,,,,,OR7G2,1C11
,,,,,,,,,OR7G2,1D5
,,,,,,,,,OR7G2,1D11
,,,,,,,,,OR7G2,1E5
,,,,,,,,,OR7G2,1E11
,,,,,,,,,OR7G2,1F5
,,,,,,,,,OR7G2,1F11
,,,,,,,,,OR7G2,1G5
,,,,,,,,,OR7G2,1G11
,,,,,,,,,OR7G2,1H5
,,,,,,,,,OR7G2,1H11
,,,,,,,,,OR7G2,2A5
,,,,,,,,,OR7G2,2A11
,,,,,,,,,OR7G2,2B5
,,,,,,,,,OR7G2,2B11
,,,,,,,,,OR7G2,2C5
,,,,,,,,,OR7G2,2C11
,,,,,,,,,OR7G2,2D5
,,,,,,,,,OR7G2,2D11
,,,,,,,,,OR7G2,2E5
,,,,,,,,,OR7G2,2E11
,,,,,,,,,OR7G2,2F5
,,,,,,,,,OR7G2,2F11
,,,,,,,,,OR7G2,2G5
,,,,,,,,,OR7G2,2G11
,,,,,,,,,OR7G2,2H5
,,,,,,,,,OR7G2,2H11
,,,,,,,,,OR7G2,3A5
,,,,,,,,,OR7G2,3A11
,,,,,,,,,OR7G2,3B5
,,,,,,,,,OR7G2,3B11
,,,,,,,,,OR7G2,1A12
,,,,,,,,,OR7G2,1B6
,,,,,,,,,OR7G2,1B12
,,,,,,,,,OR7G2,1D6
,,,,,,,,,OR7G2,1D12
,,,,,,,,,OR7G2,1E6
,,,,,,,,,OR7G2,1E12
,,,,,,,,,OR7G2,1F6
,,,,,,,,,OR7G2,1F12
,,,,,,,,,OR7G2,1G6
,,,,,,,,,OR7G2,1G12
,,,,,,,,,OR7G2,1H6
,,,,,,,,,OR7G2,1H12
,,,,,,,,,OR7G2,2A6
,,,,,,,,,OR7G2,2A12
,,,,,,,,,OR7G2,2B6
,,,,,,,,,OR7G2,2B12
,,,,,,,,,OR7G2,2C6
,,,,,,,,,OR7G2,2C12
,,,,,,,,,OR7G2,2D6
,,,,,,,,,OR7G2,2D12
,,,,,,,,,OR7G2,2E6
,,,,,,,,,OR7G2,2E12
,,,,,,,,,OR7G2,2F6
,,,,,,,,,OR7G2,2F12
,,,,,,,,,OR7G2,2G6
,,,,,,,,,OR7G2,2G12
,,,,,,,,,OR7G2,2H6
,,,,,,,,,OR7G2,2H12
,,,,,,,,,OR7G2,3A6
,,,,,,,,,OR7G2,3A12
,,,,,,,,,OR7G2,3B6
,,,,,,,,,OR7G2,3B12
,,,,,,,,,OR7G2,1A1
,,,,,,,,,OR7G2,1E7
,,,,,,,,,OR7G2,1F7
,,,,,,,,,OR7G2,1G7
,,,,,,,,,OR7G2,2A1
,,,,,,,,,OR7G2,1A4
,,,,,,,,,OR7G2,1C4
,,,,,,,,,OR7G2,1C10
,,,,,,,,,OR7G2,1A6
,,,,,,,,,OR7G2,1C6
,,,,,,,,,OR7G2,1C12
,,,,,,,,,OR7G2,1C1
,,,,,,,,,OR7G2,1C7
,,,,,,,,,OR7G2,1H7
,,,,,,,,,OR7G2,2A7
,,,,,,,,,OR8B12,6C7
,,,,,,,,,OR8B12,6C9
,,,,,,,,,OR8B12,6C10
,,,,,,,,,OR8B12,6C11
,,,,,,,,,OR8B12,3F11
,,,,,,,,,OR8B12,6C12
,,,,,,,,,OR8B12,3F12
,,,,,,,,,OR8B12,3F9
,,,,,,,,,OR8B12,3F10
,,,,,,,,,OR8B12,3F7
,,,,,,,,,OR8D4,6H12
,,,,,,,,,OR8D4,6H11
,,,,,,,,,OR8S1,1A2
,,,,,,,,,OR8S1,2A8
,,,,,,,,,OR8S1,1B10
,,,,,,,,,OR8S1,1B7
,,,,,,,,,OR8S1,1B8
,,,,,,,,,OR8S1,1C8
,,,,,,,,,OR8S1,1G2
,,,,,,,,,OR8S1,1H8
,,,,,,,,,OR8S1,1A4
,,,,,,,,,OR8S1,1C10
,,,,,,,,,OR8S1,1G4
,,,,,,,,,OR8S1,1H10
,,,,,,,,,OR8S1,2A10
,,,,,,,,,OR8S1,1A1
,,,,,,,,,OR8S1,1C7
,,,,,,,,,OR8S1,2A7
,,,,,,,,,OR8S1,1G1
,,,,,,,,,OR8S1,1H7
,,,,,,,,,OR9A2,1A6
,,,,,,,,,OR9A2,1A3
,,,,,,,,,OR9A2,2H6
,,,,,,,,,OR9A2,3B6
,,,,,,,,,OR9A2,2H3
,,,,,,,,,OR9A2,3B3
,,,,,,,,,OR9A2,1C6
,,,,,,,,,OR9A2,1C3
,,,,,,,,,OR9G4,6H4
,,,,,,,,,OR9G4,6G11
,,,,,,,,,OR9G4,6H5
,,,,,,,,,OR9G4,7A11
,,,,,,,,,OR9G4,7E11
,,,,,,,,,OR9G4,7F5
,,,,,,,,,OR9G4,7G11
,,,,,,,,,OR9G4,6G12
,,,,,,,,,OR9G4,7A12
,,,,,,,,,OR9G4,6G7
,,,,,,,,,OR9G4,6H1
,,,,,,,,,OR9G4,7F1
,,,,,,,,,OR9G4,7G10
,,,,,,,,,OR9G4,6H6
,,,,,,,,,OR9G4,7E12
,,,,,,,,,OR9G4,7F6
,,,,,,,,,OR9G4,7G12
,,,,,,,,,OR9G4,7A7
,,,,,,,,,OR9G4,7E7
,,,,,,,,,OR9G4,7A10
,,,,,,,,,OR9G4,7F4
,,,,,,,,,OR9G4,7G7
,,,,,,,,,OR9G4,6G10
,,,,,,,,,OR9G4,7E10
,,,,,,,,,OR9G4,5B2
,,,,,,,,,OR9G4,5C2
,,,,,,,,,OR9G4,5D2
,,,,,,,,,OR9G4,5E2
,,,,,,,,,OR9G4,5F2
,,,,,,,,,OR9G4,5G2
,,,,,,,,,OR9G4,4A2
,,,,,,,,,OR9G4,4B2
,,,,,,,,,OR9G4,4C2
,,,,,,,,,OR9G4,4D2
,,,,,,,,,OR9G4,4E2
,,,,,,,,,OR9G4,4F2
,,,,,,,,,OR9G4,1G3
,,,,,,,,,OR9G4,2E3
,,,,,,,,,OR9G4,2G3
,,,,,,,,,OR9G4,1G6
,,,,,,,,,OR9G4,1A3
,,,,,,,,,OR9G4,1A9
,,,,,,,,,OR9G4,1B9
,,,,,,,,,OR9G4,1C9
,,,,,,,,,OR9G4,2A9
,,,,,,,,,OR9G4,2E9
,,,,,,,,,OR9G4,2F9
,,,,,,,,,OR9G4,2G9
,,,,,,,,,OR9G4,1A6
,,,,,,,,,OR9G4,1G8
,,,,,,,,,OR9G4,2A8
,,,,,,,,,OR9G4,2E2
,,,,,,,,,OR9G4,1G9
,,,,,,,,,OR9G4,1H9
,,,,,,,,,OR9G4,2B3
,,,,,,,,,OR9G4,2C9
,,,,,,,,,OR9G4,2D3
,,,,,,,,,OR9G4,2D9
,,,,,,,,,OR9G4,1A12
,,,,,,,,,OR9G4,1G12
,,,,,,,,,OR9G4,1H12
,,,,,,,,,OR9G4,2A12
,,,,,,,,,OR9G4,2B12
,,,,,,,,,OR9G4,2D12
,,,,,,,,,OR9G4,2E6
,,,,,,,,,OR9G4,1A2
,,,,,,,,,OR9G4,1G2
,,,,,,,,,OR9G4,2G2
,,,,,,,,,OR9G4,2G8
,,,,,,,,,OR9G4,1C3
,,,,,,,,,OR9G4,2A3
,,,,,,,,,OR9G4,2B9
,,,,,,,,,OR9G4,1B12
,,,,,,,,,OR9G4,1C12
,,,,,,,,,OR9G4,2A6
,,,,,,,,,OR9G4,2B6
,,,,,,,,,OR9G4,2D6
,,,,,,,,,OR9G4,2E12
,,,,,,,,,OR9G4,2G6
,,,,,,,,,OR9G4,1C8
,,,,,,,,,OR9G4,1H8
,,,,,,,,,OR9G4,2B8
,,,,,,,,,OR9G4,2E8
,,,,,,,,,OR9G4,1C6
,,,,,,,,,OR9G4,2C12
,,,,,,,,,OR9G4,2F12
,,,,,,,,,OR9G4,2G12
,,,,,,,,,OR9G4,1A8
,,,,,,,,,OR9G4,2A2
,,,,,,,,,OR9G4,2D8
,,,,,,,,,OR9G4,2F8
,,,,,,,,,OR9G4,1B8
,,,,,,,,,OR9G4,1C2
,,,,,,,,,OR9G4,2B2
,,,,,,,,,OR9G4,2D2
,,,,,,,,,OR9G4,2C8
,,,,,,,,,OXGR1,6D1
,,,,,,,,,OR9G4,6F1
,,,,,,,,,OXGR1,4A1
,,,,,,,,,OXGR1,4A7
,,,,,,,,,OXGR1,4B1
,,,,,,,,,OXGR1,4C1
,,,,,,,,,OXGR1,4C7
,,,,,,,,,OXGR1,4F1
,,,,,,,,,OXGR1,4F7
,,,,,,,,,OXGR1,5H1
,,,,,,,,,OXGR1,5H7
,,,,,,,,,OXGR1,3C1
,,,,,,,,,OXGR1,3D1
,,,,,,,,,OXGR1,3D7
,,,,,,,,,OXGR1,4A2
,,,,,,,,,OXGR1,4A8
,,,,,,,,,OXGR1,4B2
,,,,,,,,,OXGR1,4C2
,,,,,,,,,OXGR1,4C8
,,,,,,,,,OXGR1,4D2
,,,,,,,,,OXGR1,4D8
,,,,,,,,,OXGR1,4E2
,,,,,,,,,OXGR1,4F2
,,,,,,,,,OXGR1,4F8
,,,,,,,,,OXGR1,5H2
,,,,,,,,,OXGR1,5H8
,,,,,,,,,OXGR1,3C2
,,,,,,,,,OXGR1,3D2
,,,,,,,,,OXGR1,3D8
,,,,,,,,,OXGR1,4A3
,,,,,,,,,OXGR1,4A9
,,,,,,,,,OXGR1,4B3
,,,,,,,,,OXGR1,4C3
,,,,,,,,,OXGR1,4C9
,,,,,,,,,OXGR1,4D3
,,,,,,,,,OXGR1,4D9
,,,,,,,,,OXGR1,4E3
,,,,,,,,,OXGR1,4F3
,,,,,,,,,OXGR1,4F9
,,,,,,,,,OXGR1,5H3
,,,,,,,,,OXGR1,5H9
,,,,,,,,,OXGR1,3C3
,,,,,,,,,OXGR1,3D3
,,,,,,,,,OXGR1,3D9
,,,,,,,,,OXGR1,4A4
,,,,,,,,,OXGR1,4A10
,,,,,,,,,OXGR1,4B4
,,,,,,,,,OXGR1,4C4
,,,,,,,,,OXGR1,4C10
,,,,,,,,,OXGR1,4D4
,,,,,,,,,OXGR1,4D10
,,,,,,,,,OXGR1,4E4
,,,,,,,,,OXGR1,4F4
,,,,,,,,,OXGR1,4F10
,,,,,,,,,OXGR1,5H4
,,,,,,,,,OXGR1,5H10
,,,,,,,,,OXGR1,3C4
,,,,,,,,,OXGR1,3D4
,,,,,,,,,OXGR1,3D10
,,,,,,,,,OXGR1,4A5
,,,,,,,,,OXGR1,4A11
,,,,,,,,,OXGR1,4B5
,,,,,,,,,OXGR1,4C5
,,,,,,,,,OXGR1,4C11
,,,,,,,,,OXGR1,4D5
,,,,,,,,,OXGR1,4D11
,,,,,,,,,OXGR1,4E5
,,,,,,,,,OXGR1,4F5
,,,,,,,,,OXGR1,4F11
,,,,,,,,,OXGR1,5H5
,,,,,,,,,OXGR1,5H11
,,,,,,,,,OXGR1,3C5
,,,,,,,,,OXGR1,3D5
,,,,,,,,,OXGR1,3D11
,,,,,,,,,OXGR1,4D1
,,,,,,,,,OXGR1,4D7
,,,,,,,,,OXGR1,4E1
,,,,,,,,,P2RY6,2E8
,,,,,,,,,P2RY6,2F2
,,,,,,,,,P2RY6,2F4
,,,,,,,,,P2RY6,2F1
,,,,,,,,,P2RY6,2E10
,,,,,,,,,P2RY6,2E7
,,,,,,,,,PTH2R,1B5
,,,,,,,,,PTH2R,1B3
,,,,,,,,,PTH2R,2C3
,,,,,,,,,PTH2R,1B6
,,,,,,,,,PTH2R,2C6
,,,,,,,,,PTH2R,2C5
,,,,,,,,,RRH,1E5
,,,,,,,,,RRH,2C11
,,,,,,,,,RRH,3B5
,,,,,,,,,RRH,2D12
,,,,,,,,,RRH,2D5
,,,,,,,,,RRH,2H5
,,,,,,,,,RRH,3A5
,,,,,,,,,RRH,3A11
,,,,,,,,,RRH,3B11
,,,,,,,,,RRH,1D6
,,,,,,,,,RRH,1E6
,,,,,,,,,RRH,1E12
,,,,,,,,,RRH,1F6
,,,,,,,,,RRH,2C6
,,,,,,,,,RRH,2D6
,,,,,,,,,RRH,3A6
,,,,,,,,,RRH,3B6
,,,,,,,,,RRH,1D5
,,,,,,,,,RRH,1E11
,,,,,,,,,RRH,1F5
,,,,,,,,,RRH,1F11
,,,,,,,,,RRH,2B5
,,,,,,,,,RRH,2D11
,,,,,,,,,RRH,1F12
,,,,,,,,,RRH,2C12
,,,,,,,,,RRH,2H6
,,,,,,,,,RRH,3A12
,,,,,,,,,RRH,3B12
,,,,,,,,,RRH,2C5
,,,,,,,,,RRH,2B6
,,,,,,,,,SSTR4,2E5
,,,,,,,,,SSTR4,2E2
,,,,,,,,,SSTR4,2B4
,,,,,,,,,SSTR4,2E4
,,,,,,,,,SSTR4,2H4
,,,,,,,,,SSTR4,1D2
,,,,,,,,,SSTR4,2C4
,,,,,,,,,SSTR4,3A4
,,,,,,,,,SSTR4,2B5
,,,,,,,,,SSTR4,2F5
,,,,,,,,,SSTR4,2F11
,,,,,,,,,SSTR4,2G11
,,,,,,,,,SSTR4,2H5
,,,,,,,,,SSTR4,2F2
,,,,,,,,,SSTR4,2G8
,,,,,,,,,SSTR4,2H2
,,,,,,,,,SSTR4,3A2
,,,,,,,,,SSTR4,1D4
,,,,,,,,,SSTR4,1E4
,,,,,,,,,SSTR4,1E10
,,,,,,,,,SSTR4,1F10
,,,,,,,,,SSTR4,2C10
,,,,,,,,,SSTR4,2D10
,,,,,,,,,SSTR4,2F4
,,,,,,,,,SSTR4,2F10
,,,,,,,,,SSTR4,2G10
,,,,,,,,,SSTR4,3B10
,,,,,,,,,SSTR4,1D5
,,,,,,,,,SSTR4,2C11
