CRISPRa-,,,CRISPRa+,,,CRISPRi-,,,CRISPRi+,
,,,,,,GPR132,2H8,,FFAR4,1F12
,,,,,,GPR132,3A2,,FFAR4,2E12
,,,,,,GPR132,3A8,,FFAR4,2F6
,,,,,,GPR132,3B2,,FFAR4,2F12
,,,,,,GPR132,1A4,,FFAR4,2G6
,,,,,,GPR132,1A10,,FFAR4,2G12
,,,,,,GPR132,1B4,,FFAR4,2H12
,,,,,,GPR132,1B10,,FFAR4,3A6
,,,,,,GPR132,1C4,,FFAR4,3A12
,,,,,,GPR132,1D4,,FFAR4,3B6
,,,,,,GPR132,1D10,,FFAR4,3B12
,,,,,,GPR132,1E4,,FFAR4,1E7
,,,,,,GPR132,1E10,,FFAR4,1F7
,,,,,,GPR132,1F4,,FFAR4,1C6
,,,,,,GPR132,1G4,,FFAR4,1C12
,,,,,,GPR132,1G10,,FFAR4,1C1
,,,,,,GPR132,1H4,,FFAR4,1C7
,,,,,,GPR132,1H10,,GPR176,2B9
,,,,,,GPR132,2A4,,GPR176,2B7
,,,,,,GPR132,2B4,,GPR176,2D9
,,,,,,GPR132,2B10,,GPR176,2H9
,,,,,,GPR132,2C4,,GPR176,2D7
,,,,,,GPR132,2C10,,GPR176,2H7
,,,,,,GPR132,2D4,,GPR176,3B9
,,,,,,GPR132,2E4,,GPR176,3B7
,,,,,,GPR132,2E10,,GPR179,3B3
,,,,,,GPR132,2F4,,GPR50,2F8
,,,,,,GPR132,2F10,,GPR50,2C8
,,,,,,GPR132,2G4,,GPR52,1A9
,,,,,,GPR132,2H4,,GPR52,1B3
,,,,,,GPR132,2H10,,GPR52,2D3
,,,,,,GPR132,3A4,,GPR52,1G8
,,,,,,GPR132,3A10,,GPR52,1H2
,,,,,,GPR132,3B4,,GPR52,2B8
,,,,,,GPR132,1B5,,GPR52,1C3
,,,,,,GPR132,1D5,,GPR52,1C9
,,,,,,GPR132,1D11,,GPR52,1D9
,,,,,,GPR132,1E5,,GPR52,1G9
,,,,,,GPR132,1H5,,GPR52,1H3
,,,,,,GPR132,2C5,,GPR52,2A3
,,,,,,GPR132,2F5,,GPR52,2A9
,,,,,,GPR132,2H5,,GPR52,2B9
,,,,,,GPR132,2H11,,GPR52,2C3
,,,,,,GPR132,3A5,,GPR52,1A10
,,,,,,GPR132,1B6,,GPR52,1B4
,,,,,,GPR132,1D6,,GPR52,2B10
,,,,,,GPR132,1D12,,GPR52,2C4
,,,,,,GPR132,1E6,,GPR52,2D4
,,,,,,GPR132,1E12,,GPR52,2D10
,,,,,,GPR132,1F6,,GPR52,1G11
,,,,,,GPR132,1H6,,GPR52,1H5
,,,,,,GPR132,2C6,,GPR52,2A11
,,,,,,GPR132,2F6,,GPR52,2B11
,,,,,,GPR132,2H6,,GPR52,2D5
,,,,,,GPR132,2H12,,GPR52,2B12
,,,,,,GPR132,3A6,,GPR52,1A7
,,,,,,GPR132,3A12,,GPR52,1B1
,,,,,,GPR132,3B6,,GPR52,1H1
,,,,,,GPR132,1A1,,GPR52,2B7
,,,,,,GPR132,1A7,,GPR52,2C1
,,,,,,GPR132,1E7,,GPR52,2D1
,,,,,,GPR132,1F1,,GPR52,1A8
,,,,,,GPR132,1G1,,GPR52,1B2
,,,,,,GPR132,1G7,,GPR52,1C2
,,,,,,GPR132,1H7,,GPR52,1D8
,,,,,,GPR132,2A1,,GPR52,2A2
,,,,,,GPR132,2B1,,GPR52,2A8
,,,,,,GPR132,2B7,,GPR52,2C2
,,,,,,GPR132,2C7,,GPR52,2D2
,,,,,,GPR132,2D1,,GPR52,2D8
,,,,,,GPR132,2E1,,GPR52,1E3
,,,,,,GPR132,2E7,,GPR52,1F3
,,,,,,GPR132,2F7,,GPR52,1F9
,,,,,,GPR132,2G1,,GPR52,2D9
,,,,,,GPR132,3A7,,GPR52,1C4
,,,,,,GPR132,3B1,,GPR52,1E4
,,,,,,GPR132,1A2,,GPR52,1F4
,,,,,,GPR132,1A8,,GPR52,1F10
,,,,,,GPR132,1B8,,GPR52,1H4
,,,,,,GPR132,1C2,,GPR52,2A4
,,,,,,GPR132,1G2,,GPR52,1A11
